Timestamp,Chill set,Severe set,Extreme set,Chill heater,Severe heater,Extreme heater,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb50e10,28-00000eb501b0,28-00000eb496d2,28-00000eb3cf7d,28-00000eb52c32,28-00000ec23ab6,28-00000ec25534,28-00000eb4b7e0,28-00000ec24f93,28-00000eb4619b,28-00000eb3f54e,28-00000eb4a798,28-00000eb3e681,
2023-09-17 15:56:22.279008,13.88,17.88,21.88,off,off,off,15.007,15.077,14.984,15.049,15.174,18.015,18.038,18.099,18.013,17.841,23.21,23.084,23.207,23.244,22.989,17.49,23.014,13.814,
2023-09-17 15:57:22.245901,13.88,17.88,21.88,off,off,off,14.987,15.056,14.984,15.049,15.174,18.015,18.059,18.099,18.013,17.841,23.21,23.064,23.207,23.223,23.01,17.49,23.056,13.73,
2023-09-17 15:58:22.213928,13.88,17.88,21.88,off,off,off,14.966,15.015,14.963,15.028,15.174,18.015,18.038,18.099,18.013,17.841,23.21,23.043,23.207,23.244,23.01,17.49,23.014,13.709,
2023-09-17 15:59:22.207927,13.88,17.88,21.88,off,off,off,14.966,15.056,14.942,15.028,15.174,18.036,18.059,18.12,18.013,17.841,23.21,23.064,23.207,23.244,23.01,17.49,22.93,13.688,
2023-09-17 16:00:22.214708,13.88,17.88,21.88,off,off,off,14.966,15.015,14.921,15.028,15.132,18.036,18.059,18.12,18.013,17.841,23.21,23.043,23.207,23.223,23.01,17.49,22.845,13.646,
2023-09-17 16:01:22.085947,13.88,17.88,21.88,off,off,off,14.902,15.015,14.921,15.028,15.153,18.036,18.059,18.099,18.013,17.841,23.21,23.064,23.207,23.223,23.01,17.49,22.888,13.604,
2023-09-17 16:02:22.236984,13.88,17.88,21.88,on,off,off,14.902,15.015,14.921,14.986,15.111,18.036,18.059,18.099,18.013,17.841,23.21,23.043,23.207,23.223,22.989,17.49,22.845,13.583,
2023-09-17 16:03:22.201001,13.88,17.88,21.88,on,off,off,14.881,14.993,14.879,14.986,15.111,17.994,18.059,18.099,18.013,17.841,23.21,23.064,23.186,23.223,22.989,17.49,22.762,13.542,
2023-09-17 16:04:22.150005,13.88,17.88,21.88,on,off,off,14.839,14.972,14.858,14.965,15.09,17.994,18.059,18.099,18.013,17.841,23.21,23.022,23.186,23.202,22.989,17.49,22.782,13.542,
2023-09-17 16:05:22.242004,13.88,17.88,21.88,on,off,off,14.839,14.951,14.858,14.944,15.048,18.015,18.059,18.099,18.013,17.841,23.21,23.022,23.165,23.181,22.989,17.49,22.803,13.667,
2023-09-17 16:06:22.278390,13.88,17.88,21.88,on,off,off,14.839,14.951,14.837,14.944,15.048,18.015,18.059,18.099,18.013,17.841,23.21,23.022,23.144,23.181,22.989,17.49,22.698,13.856,
2023-09-17 16:07:22.310292,13.88,17.88,21.88,on,off,off,14.839,14.951,14.837,14.902,15.048,17.994,18.038,18.099,18.013,17.862,23.21,23.022,23.144,23.181,22.989,17.49,22.698,13.92,
2023-09-17 16:08:22.292601,13.88,17.88,21.88,on,off,off,14.839,14.951,14.837,14.923,15.048,18.015,18.059,18.099,18.013,17.841,23.21,23.022,23.144,23.181,22.989,17.49,22.677,14.003,
2023-09-17 16:09:22.218943,13.88,17.88,21.88,on,off,off,14.797,14.951,14.795,14.902,15.048,18.015,18.059,18.099,18.013,17.841,23.21,22.98,23.144,23.181,22.989,17.49,22.698,14.129,
2023-09-17 16:10:22.185742,13.88,17.88,21.88,on,on,off,14.797,14.951,14.795,14.902,15.027,17.994,18.017,18.099,18.013,17.841,23.21,23.001,23.144,23.181,22.989,17.49,22.656,14.213,
2023-09-17 16:11:22.228962,13.9,17.9,21.9,on,on,off,14.776,14.951,14.795,14.902,15.027,17.994,18.017,18.099,18.013,17.841,23.169,22.98,23.144,23.139,22.989,17.49,22.635,14.297,
2023-09-17 16:12:22.183375,13.9,17.9,21.9,on,on,off,14.776,14.951,14.795,14.902,15.027,18.015,18.017,18.099,18.013,17.841,23.148,22.959,23.144,23.118,22.989,17.49,22.571,14.381,
2023-09-17 16:13:22.182201,13.9,17.9,21.9,on,off,off,14.776,14.951,14.795,14.902,15.005,18.015,18.038,18.099,18.013,17.841,23.148,22.959,23.102,23.139,22.947,17.554,22.593,14.465,
2023-09-17 16:14:22.226601,13.9,17.9,21.9,on,off,off,14.776,14.951,14.795,14.902,15.048,17.994,18.059,18.099,18.013,17.841,23.148,22.959,23.123,23.118,22.968,17.722,22.571,14.486,
2023-09-17 16:15:22.300331,13.9,17.9,21.9,on,off,off,14.776,14.951,14.795,14.902,15.027,18.036,18.059,18.12,18.013,17.841,23.148,22.959,23.102,23.118,22.947,17.785,22.571,14.633,
2023-09-17 16:16:22.168010,13.9,17.9,21.9,on,off,off,14.818,14.951,14.795,14.902,15.048,18.036,18.059,18.099,18.034,17.841,23.148,22.959,23.081,23.118,22.947,17.807,22.55,14.738,
