event_no,duration,date_start,date_peak,date_end,intensity_max,intensity_mean,intensity_cumulative,rate_onset,rate_decline
8,116,2014-11-04,2014-12-09,2015-02-27,3.4778,2.4246,281.2582,0.0371,0.0167
11,71,2015-08-20,2015-09-19,2015-10-29,5.5384,3.8211,271.2991,0.1315,0.0814
7,21,2014-10-06,2014-10-15,2014-10-26,4.8944,3.6343,76.3211,0.2674,0.2299
14,21,2016-02-15,2016-03-05,2016-03-06,3.253,2.189,45.968,0.0897,0.4592
22,20,2018-08-07,2018-08-21,2018-08-26,4.1682,3.0974,61.9481,0.1858,0.3876
23,20,2018-11-04,2018-11-11,2018-11-23,2.9331,2.5233,50.4666,0.126,0.1237
12,16,2015-11-29,2015-12-10,2015-12-14,2.8988,2.5866,41.385,0.087,0.2424
19,14,2018-01-06,2018-01-16,2018-01-19,2.0701,1.7756,24.858,0.07,0.1412
4,9,2014-01-23,2014-01-30,2014-01-31,1.707,1.3506,12.1553,0.0712,0.5166
25,9,2020-01-25,2020-01-29,2020-02-02,1.4851,1.3424,12.0812,0.0848,0.1025
24,6,2018-12-19,2018-12-23,2018-12-24,1.9981,1.9143,11.4857,0.0586,0.2002
13,5,2015-12-18,2015-12-18,2015-12-22,2.2515,1.9996,9.9979,0.5432,0.2889
26,5,2020-02-22,2020-02-24,2020-02-26,1.992,1.8013,9.0065,0.1668,0.1029
32,5,2022-09-16,2022-09-19,2022-09-20,4.5198,3.4264,17.1318,0.6256,1.0621
