event_no,duration,date_start,date_peak,date_end,intensity_max,intensity_mean,intensity_cumulative
14,116,2014-11-04,2014-12-10,2015-02-27,3.733,2.5028,290.3273
18,63,2015-08-27,2015-09-21,2015-10-28,4.9058,3.487,219.6806
19,26,2015-11-27,2015-12-10,2015-12-22,3.2101,2.3951,62.2737
13,24,2014-10-01,2014-10-16,2014-10-24,5.1376,3.1746,76.1896
24,23,2017-12-28,2018-01-17,2018-01-19,2.1875,1.7383,39.981
20,22,2016-02-15,2016-03-06,2016-03-07,3.5919,2.4215,53.274
28,20,2018-11-04,2018-11-11,2018-11-23,3.4925,2.7953,55.9054
26,16,2018-08-08,2018-08-13,2018-08-23,3.5906,2.5515,40.8241
29,11,2018-12-14,2018-12-24,2018-12-24,2.3703,1.8894,20.7835
10,8,2014-01-24,2014-01-30,2014-01-31,1.7798,1.5018,12.0146
27,7,2018-09-09,2018-09-13,2018-09-15,2.7522,2.4316,17.0211
17,6,2015-08-18,2015-08-19,2015-08-23,3.0503,2.3791,14.2743
30,5,2019-01-16,2019-01-20,2019-01-20,1.386,1.2504,6.252
